017057013 08050013    0049          051121                                                          
0270      08050013000 0049          051121                                                          
6070      0805001311140049000103112100000004132500070700000000000000000000  2021244686994           
6070      0805001300040049000104112100000000001300070700000000000000000000  2021251598530           
6070      0805001300040049000104112100000000288200070700000000000000000000  2021251762780           
6070      0805001300040049000104112100000002150000070700000000000000000000  2021251764765           
6070      0805001300040049000104112100000000755300070700000000000000000000  2021251783649           
6070      0805001300040049000105112100000002917900070700000000000000000000  2021251786227           
6070      0805001300040049000104112100000000061300070700000000000000000000  2021251883079           
6070      0805001300040049000104112100000002820500070700000000000000000000  2021251911441           
6070      0805001300040049000105112100000001547500070700000000000000000000  2021251985204           
6070      0805001300040049000104112100000000426500070700000000000000000000  2021252191929           
6070      0805001300040049000103112100000000249500070700000000000000000000  2021252345769           
6070      0805001300040049000104112100000001662000070700000000000000000000  2021252417072           
6070      0805001300040049000104112100000000672100070700000000000000000000  2021252434002           
6070      0805001300040049000104112100000001764900070700000000000000000000  2021252527374           
6070      0805001300040049000105112100000007943000070700000000000000000000  2021253083350           
6070      0805001300040049000104112100000000426500070700000000000000000000  2021253237352           
6070      0805001300040049000103112100000003965700070700000000000000000000  2021253333871           
6070      0805001300040049000105112100000004800000070700000000000000000000  2021253386229           
6070      0805001300040049000105112100000004800000070700000000000000000000  2021253391476           
6070      0805001300040049000105112100000004800000070700000000000000000000  2021253394544           
6070      0805001300040049000105112100000004800000070700000000000000000000  2021253396028           
6070      0805001300040049000104112100000000550000070700000000000000000000  2021253429003           
6070      0805001300040049000105112100000010068000070700000000000000000000  2021253475599           
6070      0805001300040049000101112100000011022000070700000000000000000000  2021253479622           
6070      0805001300040049000104112100000000249500070700000000000000000000  2021253544708           
6070      0805001300040049000104112100000001827100070700000000000000000000  2021253552761           
6070      0805001300040049000105112100000004800000070700000000000000000000  2021253632491           
6070      0805001300040049000102112100000007350000070700000000000000000000  2021253640618           
6070      0805001300040049000131102100000002150000070700000000000000000000  2021253646269           
6070      0805001300040049000101112100000006500000070700000000000000000000  2021253662654           
6070      0805001300040049000105112100000002400000070700000000000000000000  2021253679647           
6070      0805001300040049000131102100000001980000070700000000000000000000  2021253699572           
6070      0805001300040049000130102100000001980000070700000000000000000000  2021253699671           
6070      0805001300040049000131102100000001980000070700000000000000000000  2021253700264           
6070      0805001300040049000103112100000000095000070700000000000000000000  2021253700495           
6070      0805001300040049000130102100000002150000070700000000000000000000  2021253702885           
6070      0805001300040049000131102100000004000000070700000000000000000000  2021253703803           
6070      0805001300040049000104112100000001442200070700000000000000000000  2021253707533           
6070      0805001300040049000102112100000002138800070700000000000000000000  2021253712204           
6070      0805001300040049000103112100000001298500070700000000000000000000  2021253721472           
6070      0805001300040049000104112100000000500000070700000000000000000000  2021253722988           
6070      0805001300040049000103112100000004121300070700000000000000000000  2021253726320           
6070      0805001300040049000105112100000001398100070700000000000000000000  2021253765788           
6070      0805001300040049000105112100000001398100070700000000000000000000  2021253766877           
6070      0805001300040049000105112100000002150000070700000000000000000000  2021253770191           
6070      0805001300010049136603112100000000137500070700000000000000000000  2021253001760           
6070      0805001300020049139205112100000000500000070700000000000000000000  2021253758422           
6070      0805001300020049144004112100000006500000070700000000000000000000  2021253667800           
6070      0805001300030049900003112100000002150000070700000000000000000000  2021253756828           
6070      0805001300010049445904112100000001980000070700000000000000000000  2021253699968           
6070      0805001300020049479502112100000000378000070700000000000000000000  2021253614563           
6070      0805001300020049489002112100000002567700070700000000000000000000  2021252556398           
6070      0805001300030049900002112100000001980000070700000000000000000000  2021253720852           
6070      0805001300030049900004112100000001880100070700000000000000000000  2021253334465           
6070      0805001300030049900002112100000000126000070700000000000000000000  2021253628913           
6070      0805001300030049900002112100000001980000070700000000000000000000  2021253699770           
6070      0805001300020049677304112100000001980000070700000000000000000000  2021253699869           
6070      0805001300020049677305112100000002517000070700000000000000000000  2021253761497           
8070      08050013000 000060        000001492096                                                    
9070      08050013    000062        000001492096                                                    
